"Name","Spin","Remnant Mass","ExF0","ExF1","ExF2","ExF3","ExF4","ExF5","ExF6","ExF7"
124,0.727650805949,0.947968174131,-0.05276009444321625+0.19990184457859286*I,0.8398406676277217-1.0949709700572507*I,-4.800322050608344+3.2883205290295914*I,18.641986919457494-7.181403731315807*I,-53.507375576564314+16.066026908174194*I,105.719188295142-28.39493453490261*I,-164.81482846659424+14.54497743590359*I,223.65414296541718+59.049471829472125*I
125,0.677185711877,0.952963726188,0.022747665060267888+0.16800489916906267*I,0.1937647087508197-1.0275556443808644*I,-1.706470230597663+3.762139369172516*I,7.36110244405941-10.988400541299512*I,-20.498061424257365+27.586675046533962*I,40.53125057599058-52.54958238361106*I,-72.0051133849402+72.45439264944781*I,124.09835152386228-72.68101467337746*I
126,0.724762252814,0.948640063953,-0.047208881927200755+0.19878945014303462*I,0.7938525823541844-1.1009978327358758*I,-4.589456433733308+3.3823612637691896*I,17.899020268776432-7.713799098673824*I,-51.252639074813295+17.71518205250196*I,101.28958150336342-31.753926598773255*I,-159.2764923475738+21.179999497006598*I,219.9391789387939+46.508855352933416*I
127,0.652832635222,0.955447524441,0.045323415724206124+0.14815809132184923*I,-0.0070559321235947325-0.9220629996361914*I,-0.7067527974558495+3.4659388058068448*I,3.6701286495818413-10.36076219762529*I,-10.287483370504454+25.834082051936985*I,20.237333375164354-49.391005331989184*I,-38.94524730480335+72.78197774648469*I,76.12503330598831-87.87019804869877*I
128,0.742756324965,0.946748789432,-0.08445868633750894+0.20329514914599045*I,1.0968297628394899-1.0327034740784042*I,-5.93981030743163+2.59821189701053*I,22.509777140649664-3.4723799195282705*I,-65.43593621828522+4.329357197785697*I,129.12338170957662-4.6889849995566095*I,-191.35404489293524-29.35950178129478*I,232.586434897746+135.8634300887199*I
129,0.686297469599,0.952892394302,0.012227610212124956+0.17508205655088022*I,0.2861880389905054-1.0595161301663358*I,-2.1625473853273407+3.8150212856869197*I,9.050113985640198-10.95139253394445*I,-25.27312222908213+27.477468323310212*I,50.0072658367817-52.1596682053581*I,-86.81191728252733+69.11723037523927*I,143.85743359963325-60.70325532813083*I
130,0.703762198641,0.950637140704,-0.011563153815901547+0.18746444858428246*I,0.49250472650777377-1.1015162878985056*I,-3.167418807210805+3.7778243788660673*I,12.758351866681117-10.230182988451945*I,-35.96535974327072+25.354577846722695*I,71.17086626182827-47.527484516247846*I,-118.38334400928774+55.39716272503463*I,181.90777300633778-24.764475765490268*I
132,0.677361599775,0.954446900757,0.02255602505467287+0.16814423878240092*I,0.19545421892760917-1.0282225312535505*I,-1.7148367364779529+3.76353133926055*I,7.392088395996428-10.989438913803752*I,-20.585072405593586+27.58961211629943*I,40.704318183223116-52.55235490703976*I,-72.28016768382616+72.41240949022831*I,124.4723297908634-72.48756981875063*I
134,0.667922389262,0.955212253783,0.0322346812621055+0.16055692320477719*I,0.10980074762563902-0.9901582336149362*I,-1.2897161705118134+3.6713969787303116*I,5.819075753067564-10.852694558867679*I,-16.19305627842533+27.204380497254895*I,31.978554979460966-51.93539181346347*I,-58.29713959643772+73.82734154500235*I,104.83061976759777-81.0023498972324*I
136,0.749079466033,0.949080978784,-0.09906895516736984+0.2032566409749803*I,1.2117232481578506-0.9886753668926769*I,-6.423619524796489+2.196231123224581*I,24.044450739169726-1.397807386082551*I,-70.25605556458132-2.402716475364823*I,138.58456436124825+8.807689232861286*I,-200.33123244798838-52.793715995681296*I,229.3397242502249+173.43863515039868*I
138,0.662890326479,0.95724408133,0.03691115039899363+0.1564443130192864*I,0.06818880075161554-0.96826177948629*I,-1.0824763624121017+3.6096518047620894*I,5.053706415038573-10.720545764239139*I,-14.076699565319235+26.834061595233607*I,27.77162817525931-51.26683360808297*I,-51.433485067026346+73.87227196594641*I,94.85536005543113-84.1208242907864*I
139,0.703205937555,0.954411693227,-0.010727098268918947+0.18710258972599744*I,0.485320237270393-1.1006702872042986*I,-3.132790786170233+3.7824568353853616*I,12.631196121180706-10.26936143923097*I,-35.59403799227781+25.470961771653727*I,70.43735386548312-47.773699032838955*I,-117.32491678848501+56.013333803685086*I,180.73730004837776-26.206628935819076*I
141,0.666989934274,0.957145142616,0.033125819197799604+0.15979752508709316*I,0.10188299707163839-0.986174417089112*I,-1.250315817808434+3.6605501824265656*I,5.673465799241463-10.830983852147527*I,-15.78938834285104+27.143438668903908*I,31.176236177510578-51.827569112073995*I,-56.993848748236246+73.87067806873418*I,102.94968708848668-81.6459132610699*I
147,0.68121733226,0.950706292809,0.018243711037605304+0.17117390330297483*I,0.2334209346417711-1.0423725958802144*I,-1.9025382205620076+3.790545183520172*I,8.087232777967511-10.99551250241626*I,-22.543432236369313+27.605904870432603*I,44.59188821548924-52.51518738710491*I,-78.40010864205256+71.2485076570501*I,132.77654831135953-67.88456645399515*I
150,0.746430981675,0.945470861825,-0.09285326714920498+0.20339272811295422*I,1.1631407750881315-1.0085622279561415*I,-6.221262588091291+2.373537946605836*I,23.41274013351829-2.307549947464558*I,-68.26642876234958+0.5631407857370228*I,134.67690673436545+2.8682341637178794*I,-196.7834400115227-42.59177980132685*I,231.31167618435498+157.33097672780158*I
163,0.710077079922,0.950412469353,-0.02143502957444944+0.19137939443654534*I,0.5769499966497129-1.1083669675384569*I,-3.5721652598539557+3.7062415099982857*I,14.239228552966063-9.696132916608272*I,-40.31354055280339+23.75843927671869*I,79.75424698684574-44.18390352824799*I,-130.5592857397196+47.453458358398656*I,194.8138546874815-6.843898681978082*I
180,0.686429826547,0.951614826833,0.012065705701239826+0.17518239557947507*I,0.28760698369410725-1.0599354865421518*I,-2.169516101150566+3.815474609718791*I,9.075913117384554-10.949382119981859*I,-25.346491833031646+27.471666994518436*I,50.15269476149465-52.145458233747625*I,-87.03608761767265+69.0503017172831*I,144.1556601686478-60.4984871669736*I
194,0.662799939962,0.955481283565,0.03699216804715542+0.15637017052426105*I,0.06746732744279166-0.9678582497625259*I,-1.0788743430206134+3.6084753986403006*I,5.040419435697151-10.717847591049743*I,-14.040064813179788+26.826483855077413*I,27.698845892887373-51.2529296764858*I,-51.31472592463387+73.87125098710075*I,94.67383810445395-84.16817628142321*I
198,0.681750207816,0.952383593709,0.017630801867084475+0.17158861325628083*I,0.23880895573560196-1.0442540042039825*I,-1.9291321137984832+3.7937292135425906*I,8.185722953146259-10.9937704600958*I,-22.821718631925403+27.600802893671496*I,45.14419554146292-52.49493643715974*I,-79.26466318795073+71.05790203060602*I,133.92924231202716-67.18265231009988*I
202,0.737040767751,0.979812639141,-0.0719338753161849+0.20253747363328758*I,0.9964844328238511-1.0628423372992244*I,-5.503427432332381+2.9012862369575902*I,21.06321914343694-5.070667278915371*I,-60.93711945184987+9.436826042809349*I,120.2997473968488-14.971029918247666*I,-181.95683021289318-10.83381955521483*I,231.61159596848444+104.59099487114719*I
211,0.683515731462,0.951110249754,0.015569793962076778+0.17295496605576952*I,0.25690455972734494-1.0503523554560015*I,-2.0183759356781388+3.8032677043320415*I,8.516252454161968-10.983302449608455*I,-23.757219674236566+27.570229761105708*I,47.00054208997554-52.40015796374743*I,-82.15699124795749+70.37358962714899*I,137.7796987867495-64.79948749241441*I
213,0.684135542002,0.95115120339,0.014835272576950845+0.17343177172186708*I,0.2633471901447862-1.0524412266897956*I,-2.0501216255054677+3.806243067338836*I,8.633808910775786-10.977842581634166*I,-24.09053276307842+27.554404301471312*I,47.661621374036-52.356263532134655*I,-83.18473798876633+70.1125046522574*I,139.12883593325918-63.920438292586184*I
217,0.685149757623,0.951329601737,0.013620820744456932+0.17420845881939356*I,0.27399156680289843-1.055802109556503*I,-2.1025351524701676+3.8106733740917837*I,8.827906612381742-10.966905538821994*I,-24.641459528008927+27.52253260641071*I,48.754228615013865-52.27267853801883*I,-84.8786915852084+69.66238524105982*I,141.3498437531686-62.44054710753857*I
218,0.685543960606,0.951833038863,0.013144526400426015+0.17450915558663357*I,0.2781620785592337-1.0570892561166854*I,-2.123063487211733+3.812248940998761*I,8.903920084058942-10.961947902163836*I,-24.857455417121006+27.508228503069088*I,49.183069452392616-52.23617533780808*I,-85.53908809291748+69.47745378572907*I,142.20689382541173-61.849363798605864*I
