"Name","Spin","Remnant Mass","Nu0","Nu1","Nu2","Nu3","Nu4","Nu5","Nu6","Nu7"
29,0.677766514495,0.953643759562,-2.711312677583674-0.40053347592287336*I,-2.624033427734126-0.47003102027266114*I,-2.9729093780883904-0.7169278978689622*I,-3.322686165780175-0.8131074692825186*I,-3.6636093023505545-0.8524108365579355*I,-3.991459705521975-0.8867162575813174*I,-4.3412341140352195-0.9384337973926093*I,-4.721753034455864-0.9843886898509385*I
33,0.732878790955,0.962102844741,-2.740524479262451-0.5210787977323016*I,-2.460869875426375-0.5313336291552779*I,-2.897195590009821-0.7733830470293667*I,-3.25752470390279-0.8745237119945773*I,-3.594507278992139-0.9134382933323767*I,-3.902687664074987-0.9496077391807419*I,-4.235454936449639-1.0123493434669202*I,-4.603048302748187-1.0648956056452379*I
43,0.731014823962,0.962298174118,-2.739962728670687-0.5165099875729929*I,-2.4664650101560355-0.5273698546180151*I,-2.9000509736914157-0.7711882954896224*I,-3.2599720706683044-0.8722511793984382*I,-3.5970422338592325-0.9112420976535025*I,-3.9059885814716266-0.9474451129572111*I,-4.239433015264612-1.0097687376977262*I,-4.6075173933952644-1.062066121285409*I
45,0.741007150125,0.96280376568,-2.74263767176086-0.5413117678403974*I,-2.437161726370666-0.5499184564216314*I,-2.88447906619449-0.7832329606467346*I,-3.24661627244297-0.8846238557223732*I,-3.583273515643569-0.9231516749622574*I,-3.888018150042389-0.959057665084578*I,-4.217724668849718-1.0236723847962215*I,-4.583128502930633-1.0773320421980244*I
61,0.706509267887,0.974833355856,-2.729777653794428-0.45925086347626637*I,-2.5425914841718837-0.48777125381497327*I,-2.935588223966538-0.7443460790617294*I,-3.290443440187322-0.8437455194453312*I,-3.629022212542142-0.883314080042774*I,-3.9473353573255796-0.9192173492354302*I,-4.288944863714154-0.976380988250204*I,-4.66311886169024-1.0255970277030557*I
65,0.657386842854,0.984630094446,-2.694970305968099-0.36615476513205597*I,-2.669574200447244-0.4683288044364428*I,-2.99683869651129-0.699622003312127*I,-3.343636591641594-0.7928908811537998*I,-3.6864296996529076-0.8314727851927501*I,-4.020266508394238-0.8641276131324996*I,-4.375117095016701-0.9122603874100808*I,-4.759668155529894-0.9560668786054065*I
66,0.686460407304,0.951609426767,-2.717575709300581-0.41714540188740606*I,-2.60135327216774-0.4728289148390663*I,-2.9620830873049915-0.7248168707832646*I,-3.313288954782749-0.82209273948422*I,-3.6534576301424067-0.8615754228566461*I,-3.9785692751750426-0.8964700333823494*I,-4.326010024915866-0.9497799147123539*I,-4.704694599582135-0.9966887173048204*I
67,0.686467942181,0.951606709,-2.717580903931056-0.41716026393419514*I,-2.6013327821395142-0.472832123434017*I,-2.962073536052647-0.72482385109849*I,-3.313280683038484-0.8221006274683532*I,-3.6534487188510854-0.8615834305645056*I,-3.978557938321449-0.8964785166187019*I,-4.325996617782717-0.9497897967224781*I,-4.704679571706348-0.9966994371606704*I
68,0.686467572565,0.951604370214,-2.7175806491234473-0.4171595348728566*I,-2.6013337872904523-0.47283196600459027*I,-2.9620740045868486-0.7248235086800509*I,-3.3132810888060322-0.8221002405268759*I,-3.6534491559903715-0.8615830377515594*I,-3.9785584944464567-0.8964781004806669*I,-4.32599727546524-0.9497893119681883*I,-4.7046803088940745-0.9966989113062152*I
69,0.686457993436,0.951633629834,-2.7175740450625723-0.4171406408575118*I,-2.6013598360424917-0.4728278872527188*I,-2.9620861470750954-0.7248146346280532*I,-3.3132916046654524-0.8220902125327273*I,-3.6534604849156107-0.8615728575372047*I,-3.978572906980223-0.8964673157094034*I,-4.326014319936402-0.949776748936349*I,-4.704699413811186-0.9966852831213621*I
70,0.686459511967,0.95160928413,-2.7175750920167845-0.4171436359462729*I,-2.601355706816391-0.472828533675138*I,-2.962084222219549-0.7248160413593471*I,-3.313289937663559-0.8220918022008569*I,-3.653458689019617-0.8615744713428299*I,-3.9785706222652517-0.8964690253592896*I,-4.326011618002835-0.9497787404812691*I,-4.704696385251364-0.9966874435174654*I
71,0.686459152272,0.951609310651,-2.717574844025912-0.41714292649562085*I,-2.601356684912849-0.4728283805513279*I,-2.9620846781618786-0.7248157081454512*I,-3.3132903325277354-0.8220914256549299*I,-3.65345911441489-0.8615740890796787*I,-3.9785711634475978-0.8964686203936953*I,-4.326012258012218-0.9497782687429778*I,-4.704697102629027-0.9966869317832555*I
72,0.686458992376,0.951609758808,-2.7175747337856784-0.4171426111225535*I,-2.6013571197071683-0.4728283124839695*I,-2.962084880842694-0.7248155600213421*I,-3.3132905080574044-0.8220912582682767*I,-3.6534593035166347-0.8615739191514888*I,-3.978571404020351-0.896468440373507*I,-4.326012542516704-0.9497780590401887*I,-4.704697421526164-0.9966867043010098*I
73,0.686451717173,0.951608554954,-2.7175697176977036-0.41712826214823323*I,-2.6013769020039494-0.4728252161600952*I,-2.9620941025967573-0.7248088205555904*I,-3.3132984944787833-0.8220836423285025*I,-3.6534679074745484-0.8615661875427861*I,-3.978582349844462-0.8964602495521167*I,-4.326025487176361-0.9497685176890279*I,-4.704711931011549-0.996676354001374*I
74,0.686567262094,0.951601605346,-2.717649336521144-0.4173562388604312*I,-2.6010625647413343-0.472874557297786*I,-2.9619476099419946-0.724915884902589*I,-3.313171629180827-0.8222046184601788*I,-3.6533312373900513-0.8616889937854526*I,-3.9784084760461145-0.8965903419669675*I,-4.325819858460892-0.9499200629663069*I,-4.704481443730964-0.9968407492149957*I
75,0.678111539859,0.954708559379,-2.711570956062037-0.4011717515952172*I,-2.6231706689888354-0.4701110140215444*I,-2.9724870172568467-0.7172348491856285*I,-3.3223187148511735-0.8134597320591374*I,-3.6632113234894264-0.8527717536692945*I,-3.99095526557212-0.887102025940119*I,-4.340639101730717-0.9388819691252519*I,-4.721086566809853-0.9848742492552045*I
76,0.677929076438,0.954651450415,-2.711434462013145-0.40083398366366924*I,-2.6236273196025177-0.4700684252004146*I,-2.97271045282591-0.7170724593422428*I,-3.3225130932143205-0.8132733976044327*I,-3.6634218406608885-0.8525808579728804*I,-3.991222106107059-0.8868980022742259*I,-4.3409538610596075-0.9386449362034078*I,-4.721439128264924-0.984617439582268*I
77,0.675737928905,0.954056635034,-2.709779121328846-0.3968169578880657*I,-2.6290428910189547-0.469605548010017*I,-2.9753806886766676-0.7151330921439369*I,-3.3248376554750423-0.8110433697132452*I,-3.665941173891884-0.8502933470311322*I,-3.9944139005987775-0.8844503496772568*I,-4.3447175346746265-0.9358022423753223*I,-4.725654370655878-0.9815380582149735*I
78,0.675679842865,0.954059239805,-2.709734840003491-0.3967114585333031*I,-2.629184740827466-0.46959445570146*I,-2.9754511514883477-0.7150819480682877*I,-3.324899036727191-0.8109844428816979*I,-3.6660077421338984-0.8502328287152535*I,-3.994498197857906-0.8843855243747486*I,-4.344816903293378-0.9357269784557439*I,-4.725765650390246-0.9814565398510545*I
79,0.67814723787,0.954720001785,-2.7115976356249694-0.40123789230034423*I,-2.623081225639386-0.4701194214940465*I,-2.9724432838149135-0.7172666360786762*I,-3.3222806711877477-0.8134961988750241*I,-3.6631701238285084-0.8528091087890795*I,-3.9909030406486106-0.8871419456945265*I,-4.340577496373541-0.9389283490196121*I,-4.721017562077395-0.9849244995898327*I
80,0.678279448592,0.954764689507,-2.7116963748947804-0.4014830158905161*I,-2.6227496734889737-0.4701507746836287*I,-2.9722812577077-0.7173844077781751*I,-3.32213973160965-0.8136312896213654*I,-3.663017499955568-0.8529474778098708*I,-3.990709566935072-0.887289802257685*I,-4.340349266059216-0.9391001371458182*I,-4.720761917292958-0.9851106257242006*I
81,0.677262429515,0.954557193985,-2.710933980020965-0.39960415719807224*I,-2.6252883140760646-0.4699182216791527*I,-2.973525384006838-0.7164803254436781*I,-3.3232222165782224-0.8125934384364345*I,-3.664190035079094-0.8518839380268345*I,-3.992195655929704-0.8861528444943089*I,-4.342102096910526-0.9377793248191207*I,-4.7227252174951495-0.9836796602732025*I
82,0.677609025999,0.954835316158,-2.711194534711382-0.4002427243531967*I,-2.624426200732809-0.4699952634537772*I,-2.9731019693642002-0.7167879524528545*I,-3.3228537428474705-0.8129467934602813*I,-3.6637908289441037-0.8522461690403852*I,-3.991689767056335-0.8865402083187787*I,-4.341505463226065-0.9382292846048585*I,-4.722056963396073-0.9841671236311702*I
86,0.686459673133,0.951609387939,-2.717575203131994-0.41714395382539293*I,-2.6013552685665733-0.4728286022853543*I,-2.962084017928466-0.7248161906603301*I,-3.3132897607393845-0.822091970917267*I,-3.6534584984156093-0.861574642620877*I,-3.97857037978128-0.8964692068094036*I,-4.32601133123807-0.9497789518497829*I,-4.704696063820704-0.9966876728066721*I
87,0.686359631503,0.951636784124,-2.7175061925261077-0.4169467033793878*I,-2.601627182798399-0.47278614512609574*I,-2.962210802866494-0.7247235364420187*I,-3.3133995642506266-0.8219872581367267*I,-3.653576795844564-0.8614683341974798*I,-3.9787208729159524-0.8963565785571939*I,-4.326189303566791-0.9496477551482495*I,-4.7048955497831315-0.9965453538312287*I
88,0.691359445076,0.951115894558,-2.7208615059900696-0.4269703129099308*I,-2.587742558028495-0.47524826138736204*I,-2.95581015511363-0.7294097881691178*I,-3.307862782769156-0.8272594190809296*I,-3.6476215015530165-0.8668064991623496*I,-3.9711363925307603-0.9019963815244081*I,-4.317212843024029-0.9562230148926827*I,-4.694832097876536-1.0036808923053941*I
90,0.686441602806,0.95160901398,-2.717562743412962-0.41710831466490406*I,-2.6014044022132508-0.47282091380931496*I,-2.9621069227028336-0.7247994513922225*I,-3.313309597270228-0.8220730545272495*I,-3.6534798688388372-0.861555438834918*I,-3.978597566866422-0.8964488622973401*I,-4.3260434829364955-0.9497552529359367*I,-4.7047321021900155-0.9966619646368785*I
91,0.686512258247,0.95158562927,-2.71761144734213-0.4172476902456532*I,-2.6012122425202917-0.4728510249942836*I,-2.962017354776639-0.7248649106778814*I,-3.313232028564879-0.8221470239231145*I,-3.6533963034480923-0.8616305298938057*I,-3.9784912552110225-0.8965284114538302*I,-4.325917756688116-0.9498479190708967*I,-4.7045911771825315-0.9967624876692001*I
93,0.66400299712,0.955223400839,-2.7004695832842187-0.3765780963031152*I,-2.6559266373691024-0.46836955755054277*I,-2.989284518346759-0.7050697733136191*I,-3.3369926969527914-0.799331073276627*I,-3.679166126168442-0.8381909520092155*I,-4.0111221029684625-0.8714179835218933*I,-4.364381273115701-0.9206941184389232*I,-4.747663126727881-0.9651860086200063*I
94,0.678192700747,0.954690738695,-2.7116316013736346-0.40132215273754573*I,-2.622967267531657-0.47013016450947337*I,-2.9723875782711207-0.717307125655162*I,-3.3222322141256493-0.8135426462884415*I,-3.6631176481753016-0.8528566855600044*I,-3.990836521078986-0.8871927868371124*I,-4.340499027888992-0.9389874183893735*I,-4.7209296684865825-0.984988498702358*I
95,0.678122991308,0.954701570676,-2.711579515397269-0.40119296658405895*I,-2.6231419803853244-0.4701137083393351*I,-2.972472988841544-0.7172450454228988*I,-3.3223065114671506-0.8134714297218836*I,-3.6631981076505196-0.8527837364336571*I,-3.990938513185214-0.887114831540341*I,-4.340619340416737-0.938896846979457*I,-4.721064432002161-0.9848903686518414*I
96,0.678145850458,0.954711509727,-2.711596598868917-0.4012353213701287*I,-2.6230847025009387-0.470119094274548*I,-2.9724449836448223-0.717265400574319*I,-3.32228214985313-0.8134947815131622*I,-3.6631717251434712-0.8528076569280159*I,-3.990905070499155-0.8871403941814575*I,-4.340579890829837-0.9389265464190388*I,-4.721020244134153-0.9849225465561815*I
97,0.677470947463,0.954734679207,-2.711090824112821-0.3999881130834331*I,-2.6247700305819865-0.46996430030482794*I,-2.9732707227019723-0.7166653392768757*I,-3.323000590521236-0.8128059802660933*I,-3.663949914551753-0.8521018348069969*I,-3.9918913750454545-0.8863858754120856*I,-4.341743242265527-0.9380500069304707*I,-4.722323288084405-0.9839729006597425*I
98,0.675022331664,0.954547791405,-2.709232191907953-0.3955208399470563*I,-2.630784255714928-0.46947296248638265*I,-2.9762476032346266-0.7145039719155395*I,-3.325592984280523-0.8103180932351665*I,-3.6667604876411226-0.8495482221902194*I,-3.9954512804246463-0.8836519458643782*I,-4.345940270755388-0.9348753585805154*I,-4.727023632922004-0.9805341931714865*I
99,0.672566803956,0.95410326802,-2.70733293121593-0.39113324017397416*I,-2.636657726234891-0.4690822822399384*I,-2.9792032751309385-0.7123608394755768*I,-3.3281706464194882-0.8078405026573182*I,-3.6695590504758115-0.8469985500033759*I,-3.99899240563998-0.880915896631334*I,-4.350112238787986-0.9317003902445604*I,-4.7316948695322685-0.9770962269899566*I
100,0.664082535379,0.955249458801,-2.700534805975787-0.3767078185672265*I,-2.655756164987686-0.4683723261617181*I,-2.989192478885902-0.7051362223404378*I,-3.336911931003955-0.7994091920475876*I,-3.6790779747804025-0.8382721655262958*I,-4.011010987904909-0.8715058794718166*I,-4.364250708963464-0.9207958714694084*I,-4.747517076249284-0.9652960672633768*I
102,0.677885047044,0.953667711242,-2.7114014936072106-0.4007525530231553*I,-2.623737381129483-0.4700582442261606*I,-2.9727643441288345-0.7170332945013613*I,-3.3225599791189384-0.8132284487709003*I,-3.6634726228310504-0.85253480326748*I,-3.9912864718651737-0.8868487748823123*I,-4.341029782996748-0.9385877461335388*I,-4.721524167470479-0.9845554788343545*I
103,0.672812339103,0.954185063873,-2.707524366836375-0.3915677595993593*I,-2.6360775067777014-0.46911706367763634*I,-2.978909053057057-0.71257405589578*I,-3.327913881923884-0.8080874724685437*I,-3.6692801065245275-0.8472530023601875*I,-3.9986396060523695-0.881189228846989*I,-4.34969671825923-0.9320174770738856*I,-4.731229670433161-0.9774395320960696*I
110,0.706723986694,0.974853720523,-2.729889846403795-0.4597273143020026*I,-2.5419270713276623-0.4880112328517206*I,-2.935292380290014-0.744566227875217*I,-3.2901892544732494-0.8439850062686546*I,-3.6287524201155965-0.8835518656576049*I,-3.946988811585509-0.919462789262539*I,-4.288532113793509-0.976669277060816*I,-4.662655592281942-1.0259109522306094*I
115,0.693575077807,0.950703430117,-2.722285428562234-0.4315173787970592*I,-2.581405703343433-0.47657758197422107*I,-2.952931318475142-0.7315235595204956*I,-3.3053766088940106-0.8296215960187697*I,-3.6449540117506425-0.8691888192795311*I,-3.967733542818314-0.9045026908399652*I,-4.3131806855392165-0.9591488990045492*I,-4.690310464881157-1.0068580394188882*I
116,0.705593984342,0.949820616402,-2.7292948716987344-0.4572254698644879*I,-2.545418351931838-0.48676920901977644*I,-2.9368463576707433-0.7434104132640286*I,-3.291524587796068-0.8427265551045353*I,-3.6301702763308277-0.882301722914673*I,-3.948809611727843-0.9181715233928532*I,-4.290700371886102-0.9751529210688599*I,-4.66508917839341-1.0242599226577884*I
117,0.672131349549,0.953078682643,-2.706992614398385-0.3903649405405928*I,-2.6376828801032897-0.4690228352930266*I,-2.979724355395752-0.7119832879621816*I,-3.328625482118891-0.8074029224880863*I,-3.6700532696691806-0.8465475504402641*I,-3.999617392866282-0.8804312828652787*I,-4.350848266692963-0.9311382504521103*I,-4.7325188687632505-0.9764876321872411*I
119,0.730920406267,0.947513035592,-2.7399334943339095-0.5162792866376545*I,-2.4667498235934175-0.5271722646595134*I,-2.9001950167691977-0.771077739347649*I,-3.2600955184335936-0.8721364863589275*I,-3.597170238623449-0.9111311482369647*I,-3.9061551724612875-0.9473356157040523*I,-4.239633673276761-1.009638176612443*I,-4.60774281474512-1.06192301439324*I
120,0.675029546763,0.953193705146,-2.709237721518173-0.3955338691234877*I,-2.6307667651854403-0.46947425553556843*I,-2.976238875043081-0.7145103047482971*I,-3.325585377956401-0.8103253985625543*I,-3.666752235281546-0.849555730264762*I,-3.9954408331649773-0.8836599934963969*I,-4.345927958054404-0.9348847003319237*I,-4.727009845175957-0.9805443103266024*I
121,0.711360343885,0.949652776525,-2.7322133081581157-0.4701334271634008*I,-2.52748817202783-0.49365479984462124*I,-2.9288393366619054-0.7493809839623777*I,-3.284648346667659-0.8491981028880677*I,-3.6228833665010858-0.8887140858875043*I,-3.939440665692949-0.9247713296421007*I,-4.279533205407507-0.9829122267177527*I,-4.652553956542921-1.032712799783882*I
124,0.727650805949,0.947968174131,-2.738874407164621-0.508334468327635*I,-2.476688982692994-0.5205264151281106*I,-2.9051480366684386-0.767285443386883*I,-3.264339842046404-0.8681893896847023*I,-3.601579271320777-0.9073063626349069*I,-3.9118878893320868-0.9435468680921061*I,-4.246532505437685-1.0051262880026801*I,-4.615492776701064-1.056980212173849*I
125,0.677185711877,0.952963726188,-2.7108762058030713-0.39946305723378717*I,-2.6254787132221282-0.4699014731854304*I,-2.9736190242151133-0.7164123005416011*I,-3.3233037162429504-0.8125152723487846*I,-3.6642783432687156-0.85180379035348*I,-3.9923075534575654-0.8860671181971312*I,-4.3422340581447445-0.9376797516583837*I,-4.7228730166950035-0.9835717908964501*I
126,0.724762252814,0.948640063953,-2.7378625170798934-0.5013886504055084*I,-2.485578717992322-0.5149848379338217*I,-2.9094676351189728-0.7639925537016226*I,-3.2680409659501075-0.8647414058319127*I,-3.605436604207324-0.9039545981553112*I,-3.9168946757363514-0.9402048541695951*I,-4.252548121343349-1.001155236664798*I,-4.622250069490421-1.0526340214496135*I
127,0.652832635222,0.955447524441,-2.6911208893709824-0.3594065154249663*I,-2.678382066886535-0.46847314547863755*I,-3.001923865938128-0.6959604763250362*I,-3.3481264826110135-0.788522538055098*I,-3.6913516258561665-0.8268901851191809*I,-4.026450422140252-0.8591334827361451*I,-4.3823670984333125-0.9064893614752222*I,-4.767770372326289-0.9498300058180199*I
128,0.742756324965,0.946748789432,-2.7430223899593056-0.5457292383517134*I,-2.432222033404591-0.5541680280286762*I,-2.881685243805365-0.7854139839538973*I,-3.2442168647625826-0.8868392057539946*I,-3.5808171229966725-0.9252724438885407*I,-3.8848016035642954-0.9610947061770657*I,-4.213825210219859-1.0261239403067033*I,-4.578747416411632-1.0800295138477505*I
129,0.686297469599,0.952892394302,-2.71746327442901-0.41682420918436*I,-2.601796014860067-0.472759896600572*I,-2.962289555766453-0.7246659873388408*I,-3.313467771835486-0.8219222095655991*I,-3.6536502835767024-0.861402288563785*I,-3.978814357603297-0.8962866003763591*I,-4.326299855214118-0.9495662422466151*I,-4.7050194643192516-0.9964569317650673*I
130,0.703762198641,0.950637140704,-2.728306650490451-0.45319947517425613*I,-2.5510473146671284-0.48486451964874183*I,-2.939349958411517-0.7415511674588318*I,-3.2936768699078165-0.8406964302869769*I,-3.6324583320397665-0.8802817005867077*I,-3.9517457220082197-0.9160805071148057*I,-4.29419476766757-0.9726991477337258*I,-4.669010855442436-1.0215890790909874*I
132,0.677361599775,0.954446900757,-2.7110086083350304-0.3997866834968563*I,-2.625041962845272-0.4699400347927147*I,-2.9734042951413926-0.7165682948672084*I,-3.323116832329238-0.8126945065672797*I,-3.664075852920324-0.8519875586011739*I,-3.992050967531798-0.8862636680058826*I,-4.341931460897246-0.9379080522471815*I,-4.722534100274656-0.9838191146428306*I
134,0.667922389262,0.955212253783,-2.703652895280615-0.3830932599368406*I,-2.647339122767943-0.46858472132776535*I,-2.9847138758849514-0.7083720659114063*I,-3.3329869615174745-0.8032006824609215*I,-3.674798470670946-0.8422058881070879*I,-4.005612616034877-0.8757563233302703*I,-4.357904149343519-0.9257186097841406*I,-4.740416339071056-0.9706217353020511*I
136,0.749079466033,0.949080978784,-2.7442130267576483-0.5618775171375429*I,-2.414882416000806-0.5701614968341235*I,-2.871412482338481-0.7934880147107508*I,-3.2353819136905706-0.8949772613840749*I,-3.5718189247663092-0.9330358727612148*I,-3.872992310052987-0.968465905785577*I,-4.199469573930655-1.0350305229469363*I,-4.562619157405772-1.0898452576881736*I
138,0.662890326479,0.95724408133,-2.699554701906979-0.3747743125640488*I,-2.658295144808807-0.468337134947426*I,-2.9905689911352975-0.7041426319284458*I,-3.3381202883522807-0.7982400160949796*I,-3.6803972021722346-0.8370559779651412*I,-4.012673529157503-0.8701890237194405*I,-4.366203971892031-0.9192715958820725*I,-4.749701892839283-0.9636474663829292*I
139,0.703205937555,0.954411693227,-2.728000765625481-0.45198425757294336*I,-2.552748385973557-0.48431238011920374*I,-2.940106464159246-0.740990052486515*I,-3.2943274587031466-0.8400823359380866*I,-3.6331506281666206-0.8796698547917668*I,-3.952633568120867-0.9154460652811969*I,-4.2952509506216145-0.9719550580699315*I,-4.670196102896293-1.0207793706014943*I
141,0.666989934274,0.957145142616,-2.7029015061336525-0.38152062568055833*I,-2.64941708401178-0.46851816829929016*I,-2.9858078209280383-0.7075812166297857*I,-3.3339447717497026-0.8022763133125835*I,-3.67584200197536-0.8412482817251485*I,-4.006929711112917-0.8747228835583855*I,-4.359453179187541-0.9245213064239477*I,-4.742149694942938-0.9693262275744966*I
147,0.68121733226,0.950706292809,-2.713861007805138-0.4069966490117485*I,-2.61526432954765-0.47093878239792014*I,-2.968658189191504-0.7200203631112674*I,-3.318990889797103-0.8166465560144882*I,-3.659610780418367-0.856030828389139*I,-3.9863882247773508-0.8905795061102795*I,-4.335249295374284-0.9429240486299719*I,-4.715048590231385-0.9892545814728155*I
150,0.746430981675,0.945470861825,-2.743752022587253-0.5550799406535373*I,-2.4220452747184105-0.5633488493599613*I,-2.8757485891594308-0.7900694217082197*I,-3.2391137482936627-0.8915434536117945*I,-3.5756106994038035-0.9297651466301035*I,-3.8779736771954436-0.9653772145864082*I,-4.2055327150876884-1.0312914669047955*I,-4.569430835221615-1.08572144116018*I
163,0.710077079922,0.950412469353,-2.731589206167597-0.46723092259872334*I,-2.5314994714892554-0.49200373681088616*I,-2.930637929238475-0.7480365192943323*I,-3.2861920838277583-0.8477471066201855*I,-3.6245161907987677-0.8872798915966785*I,-3.9415424405523782-0.9233003471636846*I,-4.282040644990539-0.9811808263368137*I,-4.655368896397443-1.0308256649986973*I
180,0.686429826547,0.951614826833,-2.7175546222198466-0.4170850913833086*I,-2.601436417798513-0.4728159079387972*I,-2.962121848609993-0.7247885433583339*I,-3.3133225238510375-0.8220607274481864*I,-3.65349379512514-0.8615429242676093*I,-3.978615283520423-0.8964356041489738*I,-4.326064434728434-0.9497398088433318*I,-4.704755586720101-0.996645211193376*I
194,0.662799939962,0.955481283565,-2.6994801847275887-0.3746286808709524*I,-2.6584862210306923-0.4683350055576461*I,-2.9906730819826848-0.7040675144812093*I,-3.3382117027178397-0.798151528832781*I,-3.6804970366527594-0.836963872178921*I,-4.012799314088545-0.8700892420564444*I,-4.366351727751669-0.9191561136499775*I,-4.749867153810362-0.9635225731596628*I
198,0.681750207816,0.952383593709,-2.7142474267121752-0.40801023899538325*I,-2.6138825739459683-0.4711013481014109*I,-2.967996361820687-0.7205023971342789*I,-3.3184162372942962-0.8171962369255253*I,-3.658989726522106-0.8565918734800471*I,-3.985599849207496-0.8911770433285207*I,-4.334318385966908-0.9436189853954072*I,-4.714005569338082-0.9900078676749746*I
